__time,joint1_position,joint2_position,joint3_position,joint4_position,joint5_position,joint6_position
1664545416.72111,0.627368,1.743244,0.663489,0.97101,0.823748,-0.717903
1664545416.7502,0.61775,1.744083,0.661946,0.980214,0.80534,-0.734777
1664545416.76101,0.614562,1.744365,0.661398,0.984816,0.79767,-0.740913
1664545416.79006,0.604302,1.745305,0.659855,0.995554,0.776194,-0.757787
1664545416.80063,0.600855,1.745618,0.659203,1.000155,0.768524,-0.763922
1664545416.8299,0.589901,1.746589,0.657484,1.007825,0.747049,-0.78233
1664545416.85042,0.582541,1.74726,0.656387,1.013961,0.730175,-0.796136
1664545416.87024,0.574538,1.748005,0.655227,1.021631,0.714835,-0.809942
1664545416.89055,0.566711,1.748726,0.654058,1.032369,0.699495,-0.822214
1664545416.91015,0.558274,1.74949,0.653022,1.041573,0.682621,-0.83602
1664545416.9303,0.550002,1.750223,0.651884,1.050777,0.665748,-0.851359
1664545416.94997,0.540995,1.751019,0.650538,1.056913,0.650408,-0.865165
1664545416.97036,0.532216,1.751802,0.649244,1.064583,0.632,-0.878971
1664545416.99024,0.522702,1.752642,0.647908,1.072253,0.613592,-0.894311
1664545417.01076,0.513425,1.753475,0.646303,1.081457,0.595185,-0.909651
